Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
"Gates Av (J,Z)",,B,"2,117,787","2,262,915","2,234,908","2,249,791","957,606","1,125,621","168,015",17.50%,210
Graham Av (L),,B,"3,324,292","3,299,951","3,093,428","2,709,511","1,039,834","1,492,809","452,975",43.60%,166
"Grand Army Plaza (2,3)",,B,"2,425,948","2,265,097","2,228,173","2,295,401","813,305","984,813","171,508",21.10%,242
Grand St (L),,B,"2,174,128","2,256,349","2,126,443","1,847,219","809,406","1,122,527","313,121",38.70%,212
Grant Av (A),,B,"2,170,567","1,950,109","1,842,974","1,749,932","802,190","853,610","51,420",6.40%,271
Greenpoint Av (G),,B,"2,951,454","2,934,770","2,859,047","3,089,912","1,296,681","1,704,159","407,478",31.40%,138
Halsey St (J),,B,"2,101,350","2,131,177","2,059,030","2,120,521","871,012","950,058","79,046",9.10%,251
Halsey St (L),,B,"2,629,576","2,776,078","2,625,255","2,176,141","1,005,045","1,327,970","322,925",32.10%,184
"Hewes St (J,M)",,B,"913,179","894,671","893,262","1,117,566","468,382","516,269","47,887",10.20%,357
"High St (A,C)",,B,"2,536,059","2,983,672","3,463,611","3,536,860","1,043,554","1,397,257","353,703",33.90%,174
"Hoyt St (2,3)",,B,"2,356,001","2,137,478","1,982,208","2,293,256","898,643","1,084,836","186,193",20.70%,222
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"3,082,398","3,264,293","3,370,038","3,605,153","1,426,671","1,744,024","317,353",22.20%,133
"Jay St-MetroTech (A,C,F,R)",,B,"13,091,255","13,007,176","12,504,027","12,238,047","4,048,255","4,473,920","425,665",10.50%,28
Jefferson St (L),,B,"2,563,505","2,566,772","2,515,861","2,237,997","912,845","1,347,227","434,382",47.60%,183
Junius St (3),24,B,"681,935","298,119","620,548","676,092","346,436","364,344","17,908",5.20%,395
"Kings Hwy (B,Q)",,B,"6,014,920","6,040,256","5,895,421","5,938,819","2,588,491","3,187,538","599,047",23.10%,53
Kings Hwy (F),,B,"1,398,753","1,531,332","1,356,085","1,129,071","488,475","510,956","22,481",4.60%,359
Kings Hwy (N),25,B,"475,763","910,558","1,032,541","1,371,311","691,832","897,516","205,684",29.70%,261
Kingston Av (3),,B,"1,560,437","1,474,988","1,443,692","1,472,802","620,880","745,263","124,383",20.00%,298
